item_number,new_item_number,dash,total_650K
N97500-170-00001,N97500-170,1,0
N97500-145-00250,N97500-145,250,586
N97500-098-00011,N97500-098,11,0
N97500-082-00001,N97500-082,1,0
N93800-48003,N93800-48003,,0
N92101-30020,N92101-30020,,0
N55060-009-10008,N55060-009,10008,0
N55060-009-00008,N55060-009,8,0
N23032-002-00001,N23032-002,1,0
N15593-603-00144,N15593-603,144,0
N15057-006-00001,N15057-006,1,0
N07802-001-61500,N07802-001,61500,18
N07802-001-61200,N07802-001,61200,16
N07802-001-31200,N07802-001,31200,0
N02771-00058,N02771-00058,,0
N02376-40001,N02376-40001,,4863
N02376-00003,N02376-00003,,0
N02370-00058,N02370-00058,,0
N02004-00224,N02004-00224,,6255
N02004-00223,N02004-00223,,10838
N02004-00210,N02004-00210,,0
N02004-00208,N02004-00208,,0
N01683-00004,N01683-00004,,5687
N00001-24070,N00001-24070,,0
LF-0003282BRF,LF-0003282BRF,,0
0X0115-00022,0X0115-00022,,0
0S2044-00022,0S2044-00022,,138
0R8499-00001,0R8499-00001,,0
0R8471-03000,0R8471-03000,,0
0R8471-02700,0R8471-02700,,0
0R8471-02250,0R8471-02250,,0
0R6020-00167,0R6020-00167,,46
0R2101-01300,0R2101-01300,,0
0R0130-05400,0R0130-05400,,28
0R0130-03150,0R0130-03150,,0
0R0102-05000,0R0102-05000,,0
0R0102-04600,0R0102-04600,,0
0R0102-04200,0R0102-04200,,0
0R0102-03800,0R0102-03800,,0
0R0102-03400,0R0102-03400,,0
0R0102-01000,0R0102-01000,,0
0R0100-02995BQK,0R0100-02995BQK,,0
0R0100-02995,0R0100-02995,,1301
0R0100-01945,0R0100-01945,,838
0R0100-01045,0R0100-01045,,853
0R0100-00895,0R0100-00895,,0
0P8749-09020,0P8749-09020,,2
0P8749-09014,0P8749-09014,,4
0P8749-09012,0P8749-09012,,1
0P8749-09010,0P8749-09010,,20
0P8749-04514,0P8749-04514,,4
0P8749-04510,0P8749-04510,,4
0P8748-00090,0P8748-00090,,27
0P8748-00045,0P8748-00045,,8
0P8748-00030,0P8748-00030,,12
0P8085-00001,0P8085-00001,,0
0P7785-41898,0P7785-41898,,1072
0P7785-41648,0P7785-41648,,40
0P7785-41598,0P7785-41598,,60
0P7785-41548,0P7785-41548,,52
0P7785-41498,0P7785-41498,,0
0P7785-41448,0P7785-41448,,99
0P7785-41298,0P7785-41298,,112
0P7785-21898,0P7785-21898,,202
0P7785-21648,0P7785-21648,,14
0P7785-21598,0P7785-21598,,12
0P7785-21548,0P7785-21548,,4
0P7785-21498,0P7785-21498,,1
0P7785-21448,0P7785-21448,,73
0P7785-21298,0P7785-21298,,34
0P7785-11898,0P7785-11898,,177
0P7785-11648,0P7785-11648,,17
0P7785-11598,0P7785-11598,,3
0P7785-11548,0P7785-11548,,2
0P7785-11448,0P7785-11448,,22
0P7785-11298,0P7785-11298,,30
0P5546-35130,0P5546-35130,,16
0P5476-10000,0P5476-10000,,0
0P5463-03000,0P5463-03000,,0
0P5463-02700,0P5463-02700,,0
0P5463-02250,0P5463-02250,,0
0P5462-03000,0P5462-03000,,0
0P5462-02700,0P5462-02700,,0
0P5462-02250,0P5462-02250,,0
0P5462-01500,0P5462-01500,,0
0P5461-00001,0P5461-00001,,0
0P5445-01300,0P5445-01300,,0
0P5445-01000,0P5445-01000,,0
0P3799-03040,0P3799-03040,,0
0P3322-00300,0P3322-00300,,2074
0P3321-00300,0P3321-00300,,1043
0P3321-00100C1F,0P3321-00100C1F,,0
0P3321-00100,0P3321-00100,,2757
0P3076-00001,0P3076-00001,,375
0P2271-30490,0P2271-30490,,0
0P2271-30440,0P2271-30440,,0
0P2271-10150,0P2271-10150,,0
0P2271-00480,0P2271-00480,,0
0P2271-00360,0P2271-00360,,0
0P2271-00340,0P2271-00340,,0
0P2271-00300,0P2271-00300,,0
0P2271-00290,0P2271-00290,,0
0P2271-00270,0P2271-00270,,0
0P2271-00250,0P2271-00250,,0
0P2271-00220,0P2271-00220,,0
0P2271-00200,0P2271-00200,,0
0P2271-00130,0P2271-00130,,0
0P2271-00120,0P2271-00120,,0
0P2271-00100,0P2271-00100,,0
0P2271-00070,0P2271-00070,,0
0P2271-00050,0P2271-00050,,0
0P2105-00001,0P2105-00001,,0
0P1873-00058,0P1873-00058,,0
0P1233-01152,0P1233-01152,,0
0P0518-00001,0P0518-00001,,484
0L9021-00001,0L9021-00001,,8104
0L8574-10200,0L8574-10200,,0
0L8574-10100,0L8574-10100,,0
0L8472-10030,0L8472-10030,,0
0L8472-10027,0L8472-10027,,0
0L8472-10022,0L8472-10022,,0
0L7885-23515,0L7885-23515,,8
0L7885-23512,0L7885-23512,,0
0L7885-23510,0L7885-23510,,0
0L7885-22015,0L7885-22015,,0
0L7885-22012,0L7885-22012,,0
0L7885-22010,0L7885-22010,,0
0L7885-20515,0L7885-20515,,0
0L7885-20512,0L7885-20512,,0
0L7885-19015,0L7885-19015,,0
0L7885-19012,0L7885-19012,,0
0L7885-19010,0L7885-19010,,0
0L7885-17515,0L7885-17515,,6
0L7885-17512,0L7885-17512,,0
0L7885-17510,0L7885-17510,,0
0L7885-16015,0L7885-16015,,0
0L7885-16012,0L7885-16012,,0
0L7885-16010,0L7885-16010,,0
0L7885-14512,0L7885-14512,,1
0L7885-14510,0L7885-14510,,0
0L7885-13015,0L7885-13015,,5
0L7885-13012,0L7885-13012,,0
0L7885-11515,0L7885-11515,,0
0L7885-11510,0L7885-11510,,0
0L7885-10015,0L7885-10015,,13
0L7885-10013,0L7885-10013,,0
