Item_number,tot_bl_qty
001693-50000,12
009249-677-20612,6
012632-157-00001,6
012632-998-00001,48
002372-00507,156
002419-06020,156
002763-00006,156
008967-003-00725,12
009249-391-00520,6
012632-015-17035,24
012632-683-00001,96
012632-847-45460,12
013064-782-00001,6
013162-030-10300,36
0P3322-00300,12
0P8748-00045,6
0P8749-04510,6
002311-06100,12
002372-00507,32
002372-00507,52
002419-06020,52
002419-06020,32
002763-00006,52
002763-00006,32
008967-003-00725,8
012632-015-17035,16
012632-683-00001,64
012632-683-00001,64
012632-847-30460,8
001693-50000,8
006881-00127,4
009249-676-20612,4
012632-006-00001,8
012632-157-00001,4
012632-164-00155,12
012632-169-30052,4
012632-998-00001,32
N23032-002-00001,16
013064-782-00001,4
013162-030-10300,12
0P3322-00300,4
0P8748-00030,4
013064-782-00001,18
006881-00127,18
008967-003-00725,36
009249-679-20622,9
012632-157-00001,18
012632-683-00001,180
012632-164-00155,63
002311-06100,36
012632-006-00001,18
001693-50000,18
012632-168-90000,9
012632-169-90052,9
012632-015-17035,36
006881-00127,14
008967-003-00725,14
009249-645-10060,7
014496-243-00600,0
0L3323-00100,14
053924-052-10520,7
012632-683-00001,364
012632-084-10520,7
012632-164-00155,28
004420-04001,7
002311-06100,28
012632-002-03000,14
013064-397-00046,14
013064-395-07146,14
013064-395-75146,14
013064-558-00001,14
001693-50000,14
009249-766-00001,28
002372-00510,56
002437-10020,56
012632-015-17035,21
002763-00010,56
012632-209-00520,7
006881-00127,24
008967-003-00725,24
009249-645-00060,3
014496-243-00600,0
0L3323-00100,21
053924-052-00520,3
012632-140-20520,12
012632-683-00001,438
012632-164-00155,48
004420-04001,3
002311-06100,48
012632-006-00001,18
012632-002-01500,6
012632-002-03000,18
013064-397-00046,6
013064-395-22146,6
013064-395-52146,3
013064-395-75146,33
013064-558-00001,6
001693-50000,24
009249-766-00001,36
002372-00510,72
002437-10020,72
012632-015-17035,39
002763-00010,72
012632-209-00520,3
002322-08021,-8
002770-99010,-4
004424-08001,-1
012632-683-00001,-40
014496-059-07501,-1
014496-194-18000,-1
014496-194-30000,-1
014496-284-10152,-2
014496-243-00600,0
014496-612-01000,-1
014496-698-00001,-1
014496-792-10002,-1
015593-070-01200,-6
0L0516-31500,-2
0L0516-31800,-2
0L1050-00001,-12
0L4162-01000,-2
0L7885-19010,-1
0P7785-11448,-1
0P7785-11898,-5
0L0516-30750,-2
0L0516-33000,-2
0L7885-16010,-1
0L9021-00001,-32
0P7785-11298,-2
000420-18233,-1
002315-01408,-4
002763-00110,-4
006881-00155,-1
010226-010-20040,-10
014496-243-00300,-1
014496-445-00008,-1
014496-664-00300,-1
096000-034-00922,-1
002322-08021,-8
004424-08001,-1
014496-059-08001,-1
014496-243-00600,0
014496-612-01000,-1
014496-698-00001,-1
014496-792-10001,-1
015593-070-01200,-6
000420-18233,-1
006881-00155,-1
014496-194-15000,-1
014496-243-00300,-1
014496-445-00008,-1
014496-664-00300,-1
0L0516-33000,-2
096000-034-00922,-1
0L0516-30800,-2
0L0516-31500,-2
0L1050-00001,-12
0L4162-01000,-1
000420-18233,-1
002315-01408,-4
002763-00110,-4
006881-00155,-1
013107-256-00750,-2
014496-445-00008,-1
014496-664-00100,-1
096000-034-00922,-1
0L1050-00001,-20
0L4162-01000,-3
0L7885-11510,-1
002322-08021,-8
002770-99010,-4
004424-08001,-1
013107-256-01500,-4
013107-256-01800,-2
013107-256-03000,-6
014496-059-07501,-1
014496-059-15001,-1
014496-194-18000,-1
014496-194-30000,-3
014496-243-00100,-1
014496-243-00600,0
014496-612-01000,-1
014496-698-00001,-1
014496-792-10002,-1
015593-070-01500,-10
0L7885-10010,-1
000420-18233,-1
002315-01408,-6
002322-08021,-8
002770-99010,-6
004424-08001,-1
012632-683-00001,-40
013107-256-01500,-6
002763-00110,-6
006881-00155,-1
010226-010-20040,-10
013107-256-03000,-2
014496-059-07501,-1
014496-194-30000,-1
014496-243-00100,-1
014496-284-10152,-2
014496-243-00600,0
014496-612-01000,-1
014496-698-00001,-1
014496-792-10002,-1
0L7885-10010,-1
0L7885-14510,-1
0L7885-17510,-1
0L9021-00001,-36
013107-256-00750,-2
014496-194-15000,-2
014496-445-00008,-1
014496-664-00100,-1
015593-070-01400,-2
096000-034-00922,-1
0L1050-00001,-8
0L4162-01000,-3
0P7785-11448,-1
0P7785-11898,-6
0P7785-11298,-1
0P7785-11598,-1
000420-18270,-1
002322-08021,-8
012632-683-00001,-56
013107-256-01250,-2
013107-256-01500,-2
013107-256-03000,-6
014496-194-30000,-3
014496-284-10152,-2
014496-243-00600,0
014496-612-01000,-1
014496-698-00001,-1
014496-792-10002,-1
0L9021-00001,-48
004420-08003,-1
006881-00155,-1
010226-010-20040,-14
013107-256-01000,-2
014496-059-10001,-1
014496-059-12501,-1
014496-445-00008,-1
014496-664-00100,-1
015593-070-01400,-7
096000-034-00922,-1
0L1050-00001,-28
0L4162-01000,-3
0L7819-00915,-2
0P7785-11898,-9
0P7785-11648,-3
004420-08003,-1
006881-00155,-1
010226-010-20040,-16
013107-256-02300,-2
014496-059-12501,-1
014496-194-23500,-1
014496-445-00008,-1
014496-664-00100,-1
000420-18270,-1
002322-08021,-8
012632-683-00001,-64
013107-256-00800,-2
013107-256-01250,-2
013107-256-01500,-2
013107-256-03000,-6
014496-059-08001,-1
014496-194-30000,-3
014496-243-00100,-2
014496-284-10152,-2
014496-243-00600,0
014496-612-01000,-1
014496-698-00001,-1
014496-792-10002,-1
0L9021-00001,-60
015593-070-01400,-8
096000-034-00922,-1
0L1050-00001,-32
0L4162-01000,-3
0L7819-00915,-2
0P7785-11448,-1
0P7785-11898,-12
0P7785-11298,-1
0P7785-11648,-1
000000-06025,-1
012632-683-00001,-84
000000-05931,-217
000000-06015,-32
000000-06176,-1
N02004-00224,-9
016788-002-01020,-7
N01683-00004,-16
N02004-00223,-20
N02376-40001,-9
000000-06025,-2
012632-683-00001,-24
N01683-00004,-6
N02004-00223,-24
N02376-40001,-10
000000-05931,-24
000000-06015,-12
000000-06176,-2
008969-013-01020,-2
N02004-00224,-18
000000-06025,-1
000000-06025,-1
000000-05931,-209
000000-06015,-36
000000-06176,-1
000000-06176,-1
008969-013-01020,-7
N02004-00224,-18
012632-683-00001,-84
N01683-00004,-18
N02004-00223,-32
N02376-40001,-14
000000-05931,-242
000000-06015,-40
000000-06176,-1
000000-06176,-1
008969-013-01020,-8
N02004-00224,-18
000000-06025,-1
000000-06025,-1
012632-683-00001,-96
N01683-00004,-20
N02004-00223,-32
N02376-40001,-14
002311-06015,-8
002412-00815,-2
004552-04000,-1
002311-06100,-8
002370-88006,-8
002763-00006,-16
009249-436-10520,-1
009249-554-00001,-1
012632-002-01500,-2
012632-015-17035,-2
012632-222-00001,-2
012632-683-00001,-8
013064-558-00001,-2
013064-687-00458,-4
013064-998-00520,-2
0L0124-00001,-2
009249-434-00520,-1
012632-164-00155,-4
0L3323-00100,-1
0P3321-00100,-2
000000-06713,-6
002311-06100,-12
002311-10050,-6
002372-00510,-24
001693-50000,-6
002370-88010,-6
002412-00815,-2
002437-10020,-24
002763-00010,-24
002763-00110,-6
009249-441-21052,1
004552-04000,-1
006881-00127,-6
008967-003-01025,-4
009249-434-00520,-1
009249-766-00001,-12
010193-114-00280,-2
012632-002-03000,-2
012632-002-03000,-2
012632-002-03000,-4
012632-006-00001,-6
012632-164-00155,-16
012632-998-00001,-12
0L3323-00100,-7
009249-436-10520,-1
009249-554-00001,-1
010193-029-02053,-1
010193-029-02113,-1
012632-002-01500,-1
012632-015-17035,-15
012632-222-00001,-2
012632-683-00001,-68
012632-997-00520,-2
013064-687-00458,-1
013064-998-00520,-2
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
009249-436-10520,-1
009249-554-00001,-1
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-10520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
002311-06100,-8
002311-10050,-4
002370-88006,-8
002763-00006,-16
009249-436-10520,-1
009249-554-00001,-1
010193-029-02113,-1
012632-002-01500,-2
012632-015-17035,-1
012632-222-00001,-2
002311-06015,-8
002370-88010,-4
002412-00815,-2
002763-00110,-4
004552-04000,-1
009249-434-00520,-1
010193-029-02105,-1
012632-164-00155,-4
012632-998-00001,-4
0L3323-00100,-1
0P3321-00100,-2
012632-683-00001,-16
012632-997-00520,-1
013064-687-00458,-2
013064-998-00520,-2
0L0124-00001,-2
002311-06100,-4
002313-10040,-2
002522-110-00001,-1
009249-436-10520,-1
009249-554-00001,-1
010193-023-00001,-2
012632-002-01500,-2
012632-015-17035,-1
012632-683-00001,-16
012632-997-00520,-1
013064-687-00458,-1
013064-998-00520,-2
001693-50000,-2
002412-00815,-2
002522-109-00001,-1
002763-00110,-2
004552-04000,-1
006881-00127,-2
009249-434-00520,-1
010193-029-02083,-1
012632-006-00001,-2
012632-164-00155,-4
012632-998-00001,-4
0L3323-00100,-1
002311-06100,-8
009249-436-00520,-1
009249-554-00001,-1
012632-002-01500,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
012632-164-00155,-4
012632-998-00001,-4
0L3323-00100,-1
012632-015-17035,-1
012632-222-00001,-2
012632-683-00001,-8
012632-997-00520,-1
013064-687-00458,-1
013064-998-00520,-2
0L0124-00001,-2
000000-06713,-6
002311-06100,-20
002311-10050,-6
009249-436-00520,-1
009249-554-00001,-1
010193-029-02053,-1
012632-002-01500,-1
012632-002-01500,-2
012632-015-17035,-14
012632-222-00001,-2
012632-683-00001,-56
012632-997-00520,-7
013064-687-00458,-1
013064-998-00520,-2
0L0124-00001,-2
001693-50000,-6
002370-88010,-6
002412-00815,-2
002763-00110,-6
004552-04000,-1
006881-00127,-6
009249-434-00520,-1
010193-029-02105,-2
012632-002-03000,-8
012632-006-00001,-6
012632-164-00155,-16
012632-539-00520,-4
012632-998-00001,-42
0L3323-00100,-7
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
002412-00815,-2
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
004552-04000,-1
009249-434-00520,-1
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
004552-04000,-1
009249-434-00520,-1
009249-436-00520,-1
009249-554-00001,-1
013064-687-00458,-1
013064-998-00520,-2
002412-00815,-2
004552-04000,-1
009249-434-00520,-1
