item_number,tot_bl_qty
001693-50000,419
009249-677-20612,6
012632-157-00001,49
012632-998-00001,2886
002372-00507,1396
002419-06020,1456
002763-00006,2676
008967-003-00725,158
009249-391-00520,6
012632-015-17035,689
012632-683-00001,8703
012632-847-45460,26
013064-782-00001,413
013162-030-10300,154
0P3322-00300,29
0P8748-00045,6
0P8749-04510,6
002311-06100,1026
012632-847-30460,42
006881-00127,373
009249-676-20612,16
012632-006-00001,369
012632-164-00155,923
012632-169-30052,15
N23032-002-00001,16
0P8748-00030,4
009249-679-20622,14
012632-168-90000,13
012632-169-90052,13
009249-645-10060,7
014496-243-00600,0
0L3323-00100,388
053924-052-10520,8
012632-084-10520,6
004420-04001,21
012632-002-03000,253
013064-397-00046,88
013064-395-07146,23
013064-395-75146,356
013064-558-00001,77
009249-766-00001,344
002372-00510,555
002437-10020,548
002763-00010,528
012632-209-00520,10
009249-645-00060,3
053924-052-00520,5
012632-140-20520,109
012632-002-01500,110
013064-395-22146,26
013064-395-52146,17
002322-08021,-22
002770-99010,40
004424-08001,-4
014496-059-07501,-3
014496-194-18000,-2
014496-194-30000,-11
014496-284-10152,-8
014496-612-01000,-6
014496-698-00001,-5
014496-792-10002,-5
015593-070-01200,-12
0L0516-31500,-1
0L0516-31800,-1
0L1050-00001,-112
0L4162-01000,-15
0L7885-19010,-1
0P7785-11448,-1
0P7785-11898,-8
0L0516-30750,-2
0L0516-33000,4
0L7885-16010,-1
0L9021-00001,300
0P7785-11298,-4
000420-18233,-3
002315-01408,108
002763-00110,189
006881-00155,-3
010226-010-20040,62
014496-243-00300,0
014496-445-00008,-3
014496-664-00300,-2
096000-034-00922,-6
014496-059-08001,-2
014496-792-10001,-1
014496-194-15000,-3
0L0516-30800,-2
013107-256-00750,-4
014496-664-00100,-4
0L7885-11510,-1
013107-256-01500,-11
013107-256-01800,-1
013107-256-03000,3
014496-059-15001,1
014496-243-00100,-4
015593-070-01500,-10
0L7885-10010,-2
0L7885-14510,-1
0L7885-17510,-1
015593-070-01400,-17
0P7785-11598,-1
000420-18270,-2
013107-256-01250,-4
004420-08003,-2
013107-256-01000,-2
014496-059-10001,-1
014496-059-12501,-2
0L7819-00915,-4
0P7785-11648,-4
013107-256-02300,-2
014496-194-23500,-1
013107-256-00800,-2
000000-06025,27
000000-05931,1461
000000-06015,456
000000-06176,27
N02004-00224,243
016788-002-01020,-7
N01683-00004,172
N02004-00223,364
N02376-40001,153
008969-013-01020,-17
002311-06015,616
002412-00815,382
004552-04000,-2
002370-88006,616
009249-436-10520,10
009249-554-00001,206
012632-222-00001,-9
013064-687-00458,-179
013064-998-00520,-4
0L0124-00001,42
009249-434-00520,-2
0P3321-00100,118
000000-06713,-13
002311-10050,8
002370-88010,-14
009249-441-21052,1
008967-003-01025,-4
010193-114-00280,4
010193-029-02053,-6
010193-029-02113,-3
012632-997-00520,230
010193-029-02105,-5
002313-10040,53
002522-110-00001,-3
010193-023-00001,-20
002522-109-00001,-3
010193-029-02083,17
009249-436-00520,-12
012632-539-00520,4
010193-029-02120,0
006881-44211,58
009201-426-00620,1
009201-680-00620,1
013064-017-00001,10
009201-671-02040,1
009201-717-00620,1
010193-007-00825,-1
0L4178-01090,1
004420-04002,5
004424-04001,7
012632-050-00520,13
012632-085-00520,18
012632-365-01060,4
009249-088-00001,38
009249-441-20052,0
013064-395-30146,8
013064-395-37146,6
053924-051-00520,13
013070-008-00001,1
015593-104-00001,7
053924-051-10520,4
012632-148-07546,4
012632-365-11090,2
008969-013-00520,68
009249-453-00001,338
012632-002-04200,10
012632-907-00001,2934
075992-001-00458,1244
0R0100-01945,72
002723-80416,358
006881-69054,86
010193-001-00710,89
010193-026-00710,6
012632-005-00520,63
012632-007-00460,133
012632-906-00001,3051
013064-973-10460,9
013064-917-10460,133
012632-055-00520,4
014513-021-00052,1
004302-00203,-2
004421-04033,1
012632-365-00060,4
007011-06100,4
010193-029-02090,1
012632-082-00520,1
007232-023-00820,3
009249-683-20625,1
012608-087-00001,1
012608-087-00002,1
010193-001-00910,22
0L4178-01030,12
0L4178-01150,13
N97500-145-00250,48
012632-005-00820,27
012632-007-00760,58
012632-997-00820,11
013064-917-10760,1
075992-001-00758,5
009249-676-20615,1
012632-168-30000,17
012632-169-30082,1
012632-847-30760,2
012632-209-00820,1
013064-917-00760,2
012632-164-10155,4
012632-958-00758,19
053708-038-10001,2
010188-032-00001,22
006881-69027,26
010192-036-00150,35
012632-958-00458,805
013064-917-00460,84
0L1109-12998,4
012632-063-00520,1
006881-00157,2
010193-113-30041,2
000420-19872,2
004421-05033,2
012632-063-00620,-3
012632-148-07556,85
012632-997-00620,71
012632-082-10620,2
012632-140-30620,24
013064-395-52156,-1
013064-396-75056,-61
013064-397-00056,20
013162-030-10100,224
094291-102-00200,1
0L3323-00300,43
0P3321-00300,34
013064-060-10620,1
