,Unnamed: 0,Unnamed: 0.1,item_number,new_item_number,dash,total_650K
0,0,0,N97500-170-00001,,,0
1,1,1,N97500-145-00250,,,586
2,2,2,N97500-098-00011,,,0
3,3,3,N97500-082-00001,,,0
4,4,4,N93800-48003,,,0
5,5,5,N92101-30020,,,0
6,6,6,N55060-009-10008,,,0
7,7,7,N55060-009-00008,,,0
8,8,8,N23032-002-00001,,,0
9,9,9,N15593-603-00144,,,0
10,10,10,N15057-006-00001,,,0
11,11,11,N07802-001-61500,,,18
12,12,12,N07802-001-61200,,,16
13,13,13,N07802-001-31200,,,0
14,14,14,004420-13001,,,0
15,15,15,N02771-00058,,,0
16,16,16,004424-13001,,,0
17,17,17,004424-07001,,,0
18,18,18,004420-07002,,,0
19,19,19,N02376-40001,,,4863
20,20,20,004424-04033,,,0
21,21,21,N02376-00003,,,0
22,22,22,N02370-00058,,,0
23,23,23,N02004-00224,,,6255
24,24,24,004424-10001,,,0
25,25,25,N02004-00223,,,10838
26,26,26,004420-08003,,,0
27,27,27,N02004-00210,,,0
28,28,28,N02004-00208,,,0
29,29,29,N01683-00004,,,5687
30,30,30,N00001-24070,,,0
31,31,31,-11500022,,,0
32,32,32,0S2044-00022,,,138
33,33,33,004420-09033,,,0
34,34,34,0R8499-00001,,,0
35,35,35,0R8471-03000,,,0
36,36,36,0R8471-02700,,,0
37,37,37,0R8471-02250,,,0
38,38,38,0R6020-00167,,,46
39,39,39,0R2101-01300,,,0
40,40,40,0R0130-05400,,,28
41,41,41,004424-09001,,,0
42,42,42,0R0130-03150,,,0
43,43,43,0R0102-05000,,,0
44,44,44,0R0102-04600,,,0
45,45,45,004420-07001,,,0
46,46,46,004420-09002,,,0
47,47,47,0R0102-04200,,,0
48,48,48,0R0102-03800,,,0
49,49,49,0R0102-03400,,,0
50,50,50,0R0102-01000,,,0
51,51,51,0R0100-02995BQK,,,0
52,52,52,0R0100-02995,,,1301
53,53,53,0R0100-01945,,,838
54,54,54,0R0100-01045,,,853
55,55,55,0R0100-00895,,,0
56,56,56,0P8749-09020,,,2
57,57,57,0P8749-09014,,,4
58,58,58,0P8749-09012,,,1
59,59,59,0P8749-09010,,,20
60,60,60,0P8749-04514,,,4
61,61,61,0P8749-04510,,,4
62,62,62,004420-08004,,,0
63,63,63,0P8748-00090,,,27
64,64,64,0P8748-00045,,,8
65,65,65,0P8748-00030,,,12
66,66,66,0P8085-00001,,,0
67,67,67,0P7785-41898,,,1072
68,68,68,0P7785-41648,,,40
69,69,69,0P7785-41598,,,60
70,70,70,0P7785-41548,,,52
71,71,71,0P7785-41498,,,0
72,72,72,0P7785-41448,,,99
73,73,73,0P7785-41298,,,112
74,74,74,0P7785-21898,,,202
75,75,75,0P7785-21648,,,14
76,76,76,0P7785-21598,,,12
77,77,77,0P7785-21548,,,4
78,78,78,004420-06001,,,0
79,79,79,0P7785-21498,,,1
80,80,80,0P7785-21448,,,73
81,81,81,0P7785-21298,,,34
82,82,82,0P7785-11898,,,177
83,83,83,0P7785-11648,,,17
84,84,84,0P7785-11598,,,3
85,85,85,0P7785-11548,,,2
86,86,86,0P7785-11448,,,22
87,87,87,0P7785-11298,,,30
88,88,88,0P5546-35130,,,16
89,89,89,0P5476-10000,,,0
90,90,90,0P5463-03000,,,0
91,91,91,0P5463-02700,,,0
92,92,92,0P5463-02250,,,0
93,93,93,0P5462-03000,,,0
94,94,94,0P5462-02700,,,0
95,95,95,0P5462-02250,,,0
96,96,96,0P5462-01500,,,0
97,97,97,0P5461-00001,,,0
98,98,98,0P5445-01300,,,0
99,99,99,0P5445-01000,,,0
100,100,100,0P3799-03040,,,0
101,101,101,0P3322-00300,,,2074
102,102,102,0P3321-00300,,,1043
103,103,103,0P3321-00100C1F,,,0
104,104,104,0P3321-00100,,,2757
105,105,105,0P3076-00001,,,375
106,106,106,0P2271-30490,,,0
107,107,107,0P2271-30440,,,0
108,108,108,0P2271-10150,,,0
109,109,109,0P2271-00480,,,0
110,110,110,0P2271-00360,,,0
111,111,111,0P2271-00340,,,0
112,112,112,0P2271-00300,,,0
113,113,113,0P2271-00290,,,0
114,114,114,0P2271-00270,,,0
115,115,115,0P2271-00250,,,0
116,116,116,0P2271-00220,,,0
117,117,117,0P2271-00200,,,0
118,118,118,0P2271-00130,,,0
119,119,119,0P2271-00120,,,0
120,120,120,0P2271-00100,,,0
121,121,121,0P2271-00070,,,0
122,122,122,0P2271-00050,,,0
123,123,123,0P2105-00001,,,0
124,124,124,0P1873-00058,,,0
125,125,125,0P1233-01152,,,0
126,126,126,0P0518-00001,,,484
127,127,127,0L9021-00001,,,8104
128,128,128,0L8574-10200,,,0
129,129,129,0L8574-10100,,,0
130,130,130,0L8472-10030,,,0
131,131,131,0L8472-10027,,,0
132,132,132,0L8472-10022,,,0
133,133,133,0L7885-23515,,,8
134,134,134,0L7885-23512,,,0
135,135,135,0L7885-23510,,,0
136,136,136,0L7885-22015,,,0
137,137,137,0L7885-22012,,,0
138,138,138,0L7885-22010,,,0
139,139,139,0L7885-20515,,,0
140,140,140,0L7885-20512,,,0
141,141,141,0L7885-19015,,,0
142,142,142,0L7885-19012,,,0
143,143,143,0L7885-19010,,,0
144,144,144,0L7885-17515,,,6
145,145,145,0L7885-17512,,,0
146,146,146,0L7885-17510,,,0
147,147,147,0L7885-16015,,,0
148,148,148,0L7885-16012,,,0
149,149,149,0L7885-16010,,,0
150,150,150,0L7885-14512,,,1
151,151,151,0L7885-14510,,,0
152,152,152,0L7885-13015,,,5
153,153,153,0L7885-13012,,,0
154,154,154,0L7885-11515,,,0
155,155,155,0L7885-11510,,,0
156,156,156,0L7885-10015,,,13
157,157,157,0L7885-10013,,,0
158,158,158,0L7885-10012,,,0
159,159,159,0L7885-10010,,,0
160,160,160,0L7848-00001,,,26
161,161,161,0L7840-18510,,,0
162,162,162,0L7840-11515,,,0
163,163,163,0L7840-11510,,,10
164,164,164,0L7840-08015,,,1
165,165,165,0L7840-08012,,,72
166,166,166,0L7840-08010,,,11
167,167,167,0L7840-06012,,,72
168,168,168,0L7840-06010,,,0
169,169,169,0L7840-05010,,,36
