Type,Parent Item Number,Child Item Number,Description,C-Qty,,
LRD,026368-004-06565,026205-153-03000,Conveyor Channel,2,,
LRD,026368-004-06565,018426-120-00520,Crossmember reinforced DOTM Fumo LRD PnP,3,,
LRD,026368-004-06565,013064-917-00460,Straight Drive Roller PM500FE-60,5,,
LRD,026368-004-06565,009249-453-00001,Assy anti-skewing bracket MDR,5,,
LRD,026368-004-06565,013870-028-00001,Assy Cabling CBM-50E (1 Dir M12) with Healthy signal,5,,
LRD,026368-004-06565,012632-958-00458,?50 Slave roller single side Poly-V belt Axle EL=458 L=480mm,35,,
LRD,026368-004-06565,012632-907-00001,Poly-V Belt 2PJ,35,,
LRD,026368-004-06565,009249-471-00001,"Assy finger protection poly-v belt / roller, pitch 75mm",35,,
LRD,026368-004-06565,018426-097-00001,Strip DOTM Fumo LRD PnP,6,,
LRD,026368-004-06565,002370-89210,Nut hex M10 DIN934 CL8 flZn/nc/L/600H ISO10683,24,,
LRD,026368-004-06565,002418-10025,Screw HS FT M10x25 ISO4762 CL8.8 flZn/nc/L/600H ISO10683,24,,
LRD,026368-004-06565,002766-00010,Washer contact toothed M10 grounding flZn/nc/L/600H ISO10683,48,,
LRD,026368-004-06571,026207-052-00750,Conveyor channel,2,520,3000
LRD,026368-004-06571,018426-120-00520,Crossmember reinforced DOTM Fumo LRD PnP,1,620,3000
LRD,026368-004-06571,013064-917-00460,Straight Drive Roller PM500FE-60,1,720,3000
LRD,026368-004-06571,009249-453-00001,Assy anti-skewing bracket MDR,1,820,3000
LRD,026368-004-06571,013870-028-00001,Assy Cabling CBM-50E (1 Dir M12) with Healthy signal,1,520,300
LRD,026368-004-06571,012632-958-00458,?50 Slave roller single side Poly-V belt Axle EL=458 L=480mm,9,,
LRD,026368-004-06571,012632-907-00001,Poly-V Belt 2PJ,9,,
LRD,026368-004-06571,009249-471-00001,"Assy finger protection poly-v belt / roller, pitch 75mm",9,,
LRD,026368-004-06571,018426-097-00001,Strip DOTM Fumo LRD PnP,2,,
LRD,026368-004-06571,002370-89210,Nut hex M10 DIN934 CL8 flZn/nc/L/600H ISO10683,8,,
LRD,026368-004-06571,002418-10025,Screw HS FT M10x25 ISO4762 CL8.8 flZn/nc/L/600H ISO10683,8,,
LRD,026368-004-06571,002766-00010,Washer contact toothed M10 grounding flZn/nc/L/600H ISO10683,16,,
LRD,026368-004-06572,026205-153-01500,Conveyor Channel,2,,
LRD,026368-004-06572,018426-120-00520,Crossmember reinforced DOTM Fumo LRD PnP,2,,
LRD,026368-004-06572,013064-917-00460,Straight Drive Roller PM500FE-60,2,,
LRD,026368-004-06572,009249-453-00001,Assy anti-skewing bracket MDR,2,,
LRD,026368-004-06572,013870-028-00001,Assy Cabling CBM-50E (1 Dir M12) with Healthy signal,2,,
LRD,026368-004-06572,012632-958-00458,?50 Slave roller single side Poly-V belt Axle EL=458 L=480mm,18,,
LRD,026368-004-06572,012632-907-00001,Poly-V Belt 2PJ,18,,
LRD,026368-004-06572,009249-471-00001,"Assy finger protection poly-v belt / roller, pitch 75mm",18,,
LRD,026368-004-06572,018426-097-00001,Strip DOTM Fumo LRD PnP,4,,
LRD,026368-004-06572,002370-89210,Nut hex M10 DIN934 CL8 flZn/nc/L/600H ISO10683,16,,
LRD,026368-004-06572,002418-10025,Screw HS FT M10x25 ISO4762 CL8.8 flZn/nc/L/600H ISO10683,16,,
LRD,026368-004-06572,002766-00010,Washer contact toothed M10 grounding flZn/nc/L/600H ISO10683,32,,
LRD,026368-004-06573,026207-052-02250,Conveyor channel,2,,
LRD,026368-004-06573,018426-120-00520,Crossmember reinforced DOTM Fumo LRD PnP,2,,
LRD,026368-004-06573,013064-917-00460,Straight Drive Roller PM500FE-60,3,,
LRD,026368-004-06573,009249-453-00001,Assy anti-skewing bracket MDR,3,,
LRD,026368-004-06573,013870-028-00001,Assy Cabling CBM-50E (1 Dir M12) with Healthy signal,3,,
LRD,026368-004-06573,012632-958-00458,?50 Slave roller single side Poly-V belt Axle EL=458 L=480mm,27,,
LRD,026368-004-06573,012632-907-00001,Poly-V Belt 2PJ,27,,
LRD,026368-004-06573,009249-471-00001,"Assy finger protection poly-v belt / roller, pitch 75mm",27,,
LRD,026368-004-06573,018426-097-00001,Strip DOTM Fumo LRD PnP,4,,
LRD,026368-004-06573,002370-89210,Nut hex M10 DIN934 CL8 flZn/nc/L/600H ISO10683,16,,
LRD,026368-004-06573,002418-10025,Screw HS FT M10x25 ISO4762 CL8.8 flZn/nc/L/600H ISO10683,16,,
LRD,026368-004-06573,002766-00010,Washer contact toothed M10 grounding flZn/nc/L/600H ISO10683,32,,
LRD,026368-004-06574,026205-153-03000,Conveyor Channel,2,,
LRD,026368-004-06574,018426-120-00520,Crossmember reinforced DOTM Fumo LRD PnP,3,,
LRD,026368-004-06574,013064-917-00460,Straight Drive Roller PM500FE-60,4,,
LRD,026368-004-06574,009249-453-00001,Assy anti-skewing bracket MDR,4,,
LRD,026368-004-06574,013870-028-00001,Assy Cabling CBM-50E (1 Dir M12) with Healthy signal,4,,
LRD,026368-004-06574,012632-958-00458,?50 Slave roller single side Poly-V belt Axle EL=458 L=480mm,36,,
LRD,026368-004-06574,012632-907-00001,Poly-V Belt 2PJ,36,,
LRD,026368-004-06574,009249-471-00001,"Assy finger protection poly-v belt / roller, pitch 75mm",36,,
LRD,026368-004-06574,018426-097-00001,Strip DOTM Fumo LRD PnP,6,,
LRD,026368-004-06574,002370-89210,Nut hex M10 DIN934 CL8 flZn/nc/L/600H ISO10683,24,,
LRD,026368-004-06574,002418-10025,Screw HS FT M10x25 ISO4762 CL8.8 flZn/nc/L/600H ISO10683,24,,
