Item_number,Description,"Total_650K
"
N97500-170-00001,Atlas network junction box,0
N97500-145-00250,Ground Wire for ESD,586
N97500-098-00011,30HP VFD Assy w/ DLR w/o Brake,0
N97500-082-00001,Emergency stop control station,0
N93800-48003,"Cable gland straight 1/2"" NPT 0.125-0.375"" IP65 black",0
N92101-30020,Braking Resistor 150 ohms 300 watts,0
N55060-009-10008,"Sideguard Transition, RH, H=8""",0
N55060-009-00008,"Sideguard Transition, LH, H=8""",0
N23032-002-00001,"Assy, joining plate reinforcement",0
N15593-603-00144,"Threaded rod 5/8""-11 (L=144"")",0
N15057-006-00001,Relay Interface Panel,0
N07802-001-61500,"Assy, Sideguard End Cap, Sideguard H=600mm, Conveyor W=1500mm",18
N07802-001-61200,"Assy, Sideguard End Cap, Sideguard H=600mm, Conveyor W=1200mm",16
N07802-001-31200,"Assy, Sideguard End Cap, Sideguard H=300mm, Conveyor W=1200mm",0
004420-13001,Belt E8/2 U0/V5H/MT-FR black W=1300 prepared,0
N02771-00058,"Washer Flat USS 5/8"", ASME B18.21.1, Steel, ZP",0
004424-13001,Belt E8/2 U0/V15/LG-FR black W=1300 prepared,0
004424-07001,Belt E8/2 U0/V15/LG-FR black W=700 prepared,0
004420-07002,Belt E8/2 U0/V5H/MT-FR black W=700 endless,0
N02376-40001,"Turnbuckle eye & jaw 5/16""-18 x 9-1/2"", 4-1/2"" take up galvanized ASTM F1145",4863
004424-04033,Belt E8/2 U0/V15/LG-SE black W=400 prepared,0
N02376-00003,"Turnbuckle body 5/16""-18 x 5.5"", 4.5"" take up steel galvanized",0
N02370-00058,"Nut Hex 5/8""-11, ASME B18.2.2, Steel, Gr5 SAE J995, ZP",0
N02004-00224,"Thimble 3/16"" Galvanized",6255
004424-10001,Belt E8/2 U0/V15/LG-FR black W=1000 prepared,0
N02004-00223,"Wire rope clip 3/16"" Galvanized",10838
004420-08003,Belt E8/2 U0/V5H/MT-FR black W=800 prepared,0
N02004-00210,"Wire Rope Thimble, G-411, 5/16"" Crosby #1037318",0
N02004-00208,"Wire Rope Clip, 5/16"", ""Terminator Clip"" Crosby # 1010079",0
N01683-00004,"Bolt eye w/o shoulder w/ nut 5/16""-18 x 2.5"", 4.25"" shank, steel, galvanized",5687
N00001-24070,LMS-V Nordac Link 7.5kW Ethernet I/P + STO + HTL + Systembus,0
0X0115-00022,RHINO Permanent Polyester tape / size: 19mm x 5.5mm for RHINO 5200 P-Touch,0
0S2044-00022,"Brace BRP, BRH, R3, R4",138
004420-09033,Belt E8/2 U0/V5H/MT-SE black W=900 prepared FR,0
0R8499-00001,Aligning tool switch frames SPO2,0
0R8471-03000,Weldment side frame middle SPO2 with slant runway,0
0R8471-02700,Weldment side frame middle SPO2 with slant runway,0
0R8471-02250,Weldment side frame middle SPO2 with slant runway,0
0R6020-00167,Take up bolt M16,46
0R2101-01300,U-PROFILE CARRIER,0
0R0130-05400,Weldment support,28
004424-09001,Belt E8/2 U0/V15/LG-FR black W=900 prepared,0
0R0130-03150,Weldment support,0
0R0102-05000,HANGER R4 PROFILE,0
0R0102-04600,HANGER R4 PROFILE,0
004420-07001,Belt E8/2 U0/V5H/MT-FR black W=700 prepared,0
004420-09002,Belt E8/2 U0/V5H/MT-FR black W=900 endless,0
0R0102-04200,HANGER R4 PROFILE,0
0R0102-03800,HANGER R4 PROFILE,0
0R0102-03400,HANGER R4 PROFILE,0
0R0102-01000,HANGER R4 PROFILE,0
0R0100-02995BQK,Leg R4-profile A=2990,0
0R0100-02995,Leg R4-profile A=2990,1301
0R0100-01945,Leg R4-profile A=1940,838
0R0100-01045,Leg R4-profile A=1040,853
0R0100-00895,LEG R4-PROFILE,0
0P8749-09020,GUARDRAIL OUTERCURVE U-SHAPE (H=300),2
0P8749-09014,GUARDRAIL OUTERCURVE U-SHAPE (H=300),4
0P8749-09012,GUARDRAIL OUTERCURVE U-SHAPE (H=300),1
0P8749-09010,GUARDRAIL OUTERCURVE U-SHAPE (H=300),20
0P8749-04514,GUARDRAIL OUTERCURVE U-SHAPE (H=300),4
0P8749-04510,GUARDRAIL OUTERCURVE U-SHAPE (H=300),4
004420-08004,Belt E8/2 U0/V5H/MT-FR black W=800 endless,0
0P8748-00090,GUARDRAIL INNERCURVE (H=300),27
0P8748-00045,GUARDRAIL INNERCURVE (H=300),8
0P8748-00030,GUARDRAIL INNERCURVE (H=300),12
0P8085-00001,Bracket for proximity switch M12,0
0P7785-41898,Underguarding,1072
0P7785-41648,Underguarding,40
0P7785-41598,Underguarding,60
0P7785-41548,Underguarding,52
0P7785-41498,Underguarding,0
0P7785-41448,Underguarding,99
0P7785-41298,Underguarding,112
0P7785-21898,Underguarding,202
0P7785-21648,Underguarding,14
0P7785-21598,Underguarding,12
0P7785-21548,Underguarding,4
004420-06001,Belt E8/2 U0/V5H/MT-FR black W=600 prepared,0
0P7785-21498,Underguarding,1
0P7785-21448,Underguarding,73
0P7785-21298,Underguarding,34
0P7785-11898,Underguarding,177
0P7785-11648,Underguarding,17
0P7785-11598,Underguarding,3
0P7785-11548,Underguarding,2
