Parent Itemnumber,Child Itemnumber,Item description,Itemnumber,Conversion,Conversion Required,,Points of Attention,Amazon,Used in Amazon,TEMP SubsetLookup,TEMP SubsetLookup NEW,Review Comment Dennis,VI Progress Status,VI Progress Status Comment,Spec Item,Parent Spec Item,Markcode,PDB item,Loeka --> ESOT lib,Conversion,OK to start,Started,Reference PartGroup Revision ,dotM: 026208 range,New Model ,Reviewed,Reviewed,Ready,Released,Fixed colour,Documentation,nldge,Total number of Objects,Unidentified Objects [0/1],Conversion Required = No [0/1],Conversion Required = Yes [0/1],Conversion Required =? [0/1],In Analysis,OK to start Conversion = Yes [0/1],In Progress [0/1],Ready for Release [0/1],Released [0/1],Total number of Objects,Unidentified Objects [0/1],Conversion Required = No [0/1],Conversion Required = Yes [0/1],Conversion Required =? [0/1],In Analysis,OK to start Conversion = Yes [0/1],In Progress [0/1],Ready for Release [0/1],Released [0/1]
[:::::::] = duplicate,[::::::] = duplicate,,,Scope,,,,Set,2022 Bundle,Script Dennis,Script Dennis,,,,,,,.M,,by VI or TSG,Conversion,,@Start of Conversion,Loop: 013491 range,SLD-number,by TSG,by VI,for Release,,structure check,Update Status,,8229,0,4912,3242,75,349,2893,297,0,2596,5760,0,3481,2220,59,172,2048,57,0,1991
000000-00154,,Power supply IP54 IN/OUT 400Vac/24Vdc 960W,000000-00154,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-00159,,Emergency stop push button red ?40mm in enclosure 2NC rotate to unlatch,000000-00159,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,.M # EM Components & Supports,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000-00209,,Adaptor M8 male 4p straight / M8 female 3p straight,000000-00209,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-00265,,"Connector M12 female 5p straight 0,14-1,5mmý self wireable screw terminal",000000-00265,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-00280,,Connector 1-conductor female 2p 1.5 mmý strain relief plate,000000-00280,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-00588,,Belt E10/2 TX0/V5H MT-SE-AMP black W=1800mm prepared,000000-00588,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-00613,,"Cable sensor M12 male 5p straight / M12 female 5p straight HF L=2,0m",000000-00613,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-00756,,Protective caps,000000-00756,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,.M # GW Flowtrack,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000-00931,,"Photo sensor reflective M12 male 4p 24Vdc pnp/npn range 0-3,0m pigtail L=270mm",000000-00931,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
